image_filename,label_id,x,y,w,h,confidence
itp_1.jpg,2,1524.0,535.0,68.0,132.0,0.41033933
itp_1.jpg,3,874.0,543.0,42.0,71.0,0.44438857
itp_1.jpg,1,457.0,556.0,111.0,62.0,0.7754573
itp_1.jpg,1,650.0,553.0,108.0,62.0,0.92202073
itp_10.jpg,1,1079.0,213.0,193.0,230.0,0.9499937
itp_100.jpg,1,1678.0,608.0,242.0,239.0,0.8440106
itp_100.jpg,1,860.0,583.0,250.0,181.0,0.8669585
itp_100.jpg,1,680.0,615.0,138.0,108.0,0.8689684
itp_100.jpg,3,1235.0,604.0,102.0,200.0,0.92914456
itp_100.jpg,1,430.0,606.0,309.0,201.0,0.94913644
itp_100.jpg,3,1451.0,545.0,312.0,496.0,0.9508298
itp_100.jpg,1,1.0,580.0,524.0,382.0,0.9673291
itp_1000.jpg,1,1092.0,619.0,89.0,70.0,0.89948153
itp_1000.jpg,1,1228.0,362.0,626.0,511.0,0.9636353
itp_1000.jpg,1,716.0,571.0,372.0,319.0,0.96930116
itp_101.jpg,1,862.0,275.0,56.0,50.0,0.72567713
itp_101.jpg,1,1523.0,311.0,222.0,98.0,0.94849396
itp_103.jpg,2,1522.0,576.0,66.0,167.0,0.42332774
itp_103.jpg,1,1082.0,604.0,117.0,88.0,0.9260618
itp_103.jpg,1,491.0,567.0,160.0,115.0,0.93152803
itp_103.jpg,1,1212.0,600.0,274.0,188.0,0.95908976
itp_103.jpg,1,578.0,545.0,567.0,440.0,0.96496767
itp_104.jpg,1,1176.0,625.0,196.0,141.0,0.95095456
itp_104.jpg,1,1397.0,584.0,521.0,406.0,0.9723378
itp_104.jpg,1,642.0,562.0,639.0,473.0,0.9764022
itp_105.jpg,1,1168.0,601.0,223.0,202.0,0.3488671
itp_105.jpg,1,1283.0,569.0,619.0,396.0,0.9575046
itp_105.jpg,1,669.0,551.0,458.0,389.0,0.9671191
itp_106.jpg,3,1883.0,304.0,37.0,95.0,0.46664366
itp_106.jpg,1,1713.0,278.0,204.0,110.0,0.5540545
itp_106.jpg,1,87.0,307.0,137.0,69.0,0.6899861
itp_106.jpg,1,1253.0,293.0,98.0,64.0,0.7806509
itp_106.jpg,3,1717.0,291.0,74.0,103.0,0.7938781
itp_106.jpg,3,1817.0,305.0,79.0,110.0,0.874239
itp_106.jpg,1,933.0,280.0,199.0,111.0,0.923145
itp_106.jpg,1,0.0,328.0,180.0,318.0,0.94456476
itp_106.jpg,1,1263.0,291.0,305.0,125.0,0.9585625
itp_106.jpg,1,646.0,235.0,310.0,255.0,0.960531
itp_107.jpg,1,0.0,120.0,1342.0,693.0,0.3162043
